vwap_filter,time_exit_bars,rsi_os,rsi_ob,balance,drawdown,win_rate,trades,net_profit,score
False,48,30,70,1039.7774379727443,88.99761919639741,28.26855123674912,849,39.77743797274434,12.494225441067499
False,24,30,70,1039.7774379727443,88.99761919639741,28.26855123674912,849,39.77743797274434,12.494225441067499
False,24,30,60,562.3638984222382,89.41652179876878,33.35993615323225,1253,-437.6361015777618,-161.46952035465713
False,48,30,60,562.3638984222382,89.41652179876878,33.35993615323225,1253,-437.6361015777618,-161.46952035465713
False,24,40,70,452.59633818401494,94.90872146234867,32.69069572506287,1193,-547.4036618159851,-186.58372538348047
False,48,40,70,452.59633818401494,94.90872146234867,32.69069572506287,1193,-547.4036618159851,-186.58372538348047
True,24,40,60,573.4849859190745,84.22715140238334,38.17204301075269,186,-426.51501408092554,-191.03007896346972
True,48,40,60,573.4849859190745,84.22715140238334,38.17204301075269,186,-426.51501408092554,-191.03007896346972
True,24,30,60,593.3245818052677,81.2048868865655,39.6551724137931,116,-406.6754181947323,-196.17792123741825
True,48,30,60,593.3245818052677,81.2048868865655,39.6551724137931,116,-406.6754181947323,-196.17792123741825
False,24,40,60,415.1265299345324,89.72151383960613,35.32763532763533,1404,-584.8734700654676,-227.75409920751363
False,48,40,60,415.1265299345324,89.72151383960613,35.32763532763533,1404,-584.8734700654676,-227.75409920751363
True,24,40,70,511.5861502060248,84.72914584265517,41.23711340206185,97,-488.4138497939752,-234.93500504551355
True,48,40,70,511.5861502060248,84.72914584265517,41.23711340206185,97,-488.4138497939752,-234.93500504551355
True,48,30,70,581.0792798408681,81.2048868865655,62.5,24,-418.92072015913186,-318.50350996863517
True,24,30,70,581.0792798408681,81.2048868865655,62.5,24,-418.92072015913186,-318.50350996863517
